"group","vars","mean","sd","max","p75","median","p25","min"
"Mild","admission_weight",1850.533,1077.174,9500,2120,1530,1190,550
"Mild","age_days",26.45,55.419,366,27,1,1,1
"Mild","birth_weight",1526.453,635.553,4600,1780,1380,1100,460
"Mild","gestation_age",161.404,90.744,297,224,198,28,2
"Mild","pda_maximum_diameter",2.379,1.688,7.1,3.5,2.6,1,0
"Mild","pda_blood_flow_velocity",1.353,1.288,12.68,2.29,1.7,0,0
"Mild","area_of_tricuspid_regurgitation",0.38,0.531,4.1,0.44,0.25,0,0
"Mild","apgar_score_1min",6.072,3.066,10,8,7,4,0
"Mild","apgar_score_5min",8.37,1.534,10,10,9,7,3
"Mild","apgar_score_10min",8.901,1.175,10,10,9,8,3
"Severe","admission_weight",1751.345,792.619,5500,2030,1600,1215,600
"Severe","age_days",11,27.205,202,4,1,1,1
"Severe","birth_weight",1633.731,676.807,4870,1925,1500,1190,600
"Severe","gestation_age",168.062,92.925,285,233.5,213,28,2
"Severe","pda_maximum_diameter",3.421,1.664,7.7,4.6,3.6,2.5,0
"Severe","pda_blood_flow_velocity",1.147,0.998,9,1.555,1.15,0.71,0
"Severe","area_of_tricuspid_regurgitation",0.33,0.541,5.4,0.42,0.2,0,0
"Severe","apgar_score_1min",6.625,2.845,10,9,7,5,0
"Severe","apgar_score_5min",8.531,1.443,10,10,9,8,3
"Severe","apgar_score_10min",8.927,1.291,10,10,9,8,1
